QUESTIONS,ANSWER
Bạn có nhận ship COD không?|Có, shop hỗ trợ ship COD toàn quốc.
Phí ship bao nhiêu?|Phí ship sẽ phụ thuộc vào địa chỉ nhận hàng và giá trị đơn hàng. Bạn có thể tham khảo bảng phí ship tại mục thanh toán
Mua hàng online thanh toán bằng cách nào?|Bạn có thể thanh toán bằng nhiều hình thức như: chuyển khoản ngân hàng, ví điện tử, thanh toán khi nhận hàng (COD).
Shop có chương trình khuyến mãi nào không?|Có, shop thường xuyên có các chương trình khuyến mãi hấp dẫn như: giảm giá, tặng quà, miễn phí ship,... Bạn có thể theo dõi thông tin khuyến mãi trên website, fanpage hoặc Zalo của shop.
Tôi muốn đổi trả sản phẩm thì phải làm thế nào?|Bạn có thể đổi trả sản phẩm trong vòng 7 ngày kể từ ngày nhận hàng nếu sản phẩm bị lỗi hoặc không đúng như mô tả. Vui lòng liên hệ với shop qua số điện thoại [Số điện thoại] hoặc email [Email] để được hỗ trợ đổi trả.
Chất lượng sản phẩm của shop như thế nào?|Shop cam kết cung cấp sản phẩm chất lượng tốt, có nguồn gốc xuất xứ rõ ràng. Tất cả sản phẩm đều được kiểm tra kỹ lưỡng trước khi giao đến tay khách hàng.
Tôi có thể thử sản phẩm trước khi mua không?|Rất tiếc, shop hiện chỉ bán hàng online và không có cửa hàng để khách hàng đến thử sản phẩm trực tiếp.
Kích thước sản phẩm như thế nào?|Bạn có thể tham khảo bảng kích thước sản phẩm trên website hoặc fanpage của shop. Nếu bạn vẫn còn băn khoăn về kích thước, vui lòng liên hệ với shop để được tư vấn cụ thể hơn.
Sản phẩm này còn hàng không?|Bạn có thể kiểm tra tình trạng còn hàng của sản phẩm trên website hoặc fanpage của shop.
Khi nào tôi nhận được hàng?|Thời gian giao hàng sẽ phụ thuộc vào địa chỉ nhận hàng và phương thức vận chuyển bạn chọn. Thông thường, thời gian giao hàng sẽ từ 2-5 ngày đối với các đơn hàng trong nội thành và từ 3-7 ngày đối với các đơn hàng ngoại tỉnh.
Bạn có nhận đặt hàng theo yêu cầu không?|Có, shop nhận đặt hàng theo yêu cầu của khách hàng. Bạn có thể cung cấp mẫu mã, chất liệu, kiểu dáng mong muốn cho shop để được tư vấn và báo giá.
Shop có hỗ trợ tư vấn phối đồ không?|Có, shop có đội ngũ nhân viên tư vấn chuyên nghiệp, sẵn sàng hỗ trợ khách hàng lựa chọn trang phục phù hợp với vóc dáng, sở thích và hoàn cảnh sử dụng.
Tôi có thể mua hàng số lượng lớn để được giá ưu đãi không?|Có, shop có chính sách giá ưu đãi cho khách hàng mua hàng số lượng lớn. Vui lòng liên hệ với shop qua số điện thoại [Số điện thoại] hoặc email [Email] để được báo giá cụ thể.
Shop có hỗ trợ bán hàng sỉ không?|Có, shop hỗ trợ bán hàng sỉ cho các cửa hàng, đại lý. Vui lòng liên hệ với shop qua số điện thoại [Số điện thoại] hoặc email [Email] để được tư vấn và báo giá.
Tôi có thể thanh toán bằng tiền mặt khi nhận hàng không?|Có, bạn có thể thanh toán bằng tiền mặt khi nhận hàng nếu chọn hình thức ship COD.
Shop có hỗ trợ giao hàng nhanh không?|Có, shop hỗ trợ giao hàng nhanh trong vòng 24h đối với các đơn hàng trong nội thành.
Tôi có thể đổi trả sản phẩm nếu không ưng ý không?|Có, bạn có thể đổi trả sản phẩm trong vòng 7 ngày kể từ ngày nhận hàng nếu sản phẩm bị lỗi hoặc không đúng như mô tả. Vui lòng liên hệ với shop qua số điện thoại [Số điện thoại] hoặc email [Email] để được hỗ trợ đổi trả.
Shop có bảo hành sản phẩm không?|Có, shop bảo hành sản phẩm trong vòng [Thời gian bảo hành] kể từ ngày mua hàng. Vui lòng giữ hóa đơn mua hàng để được bảo hành.
Tôi có thể liên hệ với shop qua những kênh nào?|Bạn có thể liên hệ với shop qua các kênh sau
Tôi cao [Chiều cao] cm, nặng [Cân nặng] kg, nên chọn size nào?|Bạn nên chọn size [Size]. Để tư vấn chính xác hơn, bạn có thể cung cấp thêm số đo vòng ngực, vòng eo và vòng hông cho shop.
Sản phẩm này có bảng size không?|Có, bạn có thể tham khảo bảng size trên website hoặc fanpage của shop.
Sản phẩm này có ôm dáng không?|Sản phẩm này có độ ôm dáng vừa phải, phù hợp với nhiều vóc dáng.
Liệu sản phẩm này có rộng quá không?|Sản phẩm này có form chuẩn, nếu bạn thích mặc rộng rãi hơn, bạn có thể chọn tăng 1 size.
Bạn có thể tư vấn cho tôi về cách chọn size quần áo phù hợp khi mua trực tuyến không?|Tất nhiên, để chọn size phù hợp, bạn nên tham khảo bảng size của cửa hàng và đo kích cỡ cơ thể của mình.
Tôi không chắc về chất liệu của sản phẩm, bạn có thể giúp tôi xác định được không?|Đương nhiên, chúng tôi cung cấp thông tin chi tiết về chất liệu của sản phẩm trong mô tả sản phẩm.
Làm sao để biết sản phẩm có phù hợp với dáng vóc của mình không?|Bạn có thể đo kích cỡ cơ thể của mình và tham khảo bảng size của cửa hàng để chọn size phù hợp nhất.
Tôi muốn mua một sản phẩm có màu sắc phù hợp với tone da của mình, bạn có thể tư vấn được không?|Chắc chắn, nếu bạn cần, chúng tôi có thể tư vấn về màu sắc phù hợp với tone da của bạn.
Chính sách hoàn trả của cửa hàng là gì?|Shop có chính sách đổi trả trong 7 ngày đối với những mặt hàng chưa qua sử dụng, còn nguyên tag.
Hiện tại có chương trình khuyến mãi hoặc giảm giá nào không?|Hiện tại đang có chương trình giảm giá 10% cho tất cả các sản phẩm.
